Sentence,Emotion
dume lũ mất dạy . bố mẹ cho mày ăn học để dơ ngón tay thối cho người anh em thái lan thế hả ? thắng cũng đâu cần phải làm thế ?,Anger
... bố nhà mày ... t nông thôn còn không biết nấu đòi thành phố ...,Anger
"điều tra nguyên nhân cái cái gì . vì hám lời nên coi thường cong nhân , răn đe chỉ béo tiền đút lót",Anger
tổ cha thằng viết kịch bản . mồi dâng đến miệng mà không cho ăn . bếp trưởng said,Anger
ghét vãi nồi,Anger
chắc tao lại vác dao đâm chết cdm bọn hãm này :)))),Anger
lũ này cho nghỉ việc thay người khác còn bao nhiêu người đi xin việc kìa xử phạt thì trẻ cũng đã ăn rồi lũ mất nhân tính,Anger
điên mẹ rồi,Anger
trên quê tôi . trc nói trong vòng 6 đến 7 năm sẽ cho hưởng cổ tức . vậy mà đến giờ đã hơn 10 năm vẫn chưa được hưởng 1 xu nào . cao su trồng thì chết lên chết xuống . giờ cũng chưa thấy cạo mủ . mất bao nhiêu đất rừng của dân . hôm nào mời vtv24 làm 1 chuyến lên quê tôi . sẽ biết thế nào ?,Anger
per tao bị con mặt nồi này dí 2 lần táp vào chân bầm tím chạy muốn súc quần .. đang đi không làm gì nó nó cũng dí .. mẹ bà kkk,Anger
ngon xuống đây nói chuyện tử tế với bố như 2 con chó xem,Anger
tử hình loại này đi,Anger
dume sao mày đánh tao,Anger
per đừng có mà thân thiết với tôi,Anger
mẹ nó cái trang nhổn làm . bố mới thay kính cường lực hôm qua mà bể rồi . mẹ chúng mày,Anger
anh tao làm trò đùa cho chúng mày à :'(,Anger
tao cũng co con gái nhưng nó không như loại mày đẻ ra chỉ đau lol phí cả công nuôi nuôi con chó còn hơn nuôi loại con như mày,Anger
"thế đường không cấm đỗ , bạn lấy quyền gì không cho người ta đỗ vậy",Anger
chơi thế không hay nha page dume :)),Anger
con bé bị tát trong hình là em gái mình thì không biết mình sẽ làm gì bọn này nữa 🙂,Anger
địt cụ hỏi nhiều vãi,Anger
dume thằng quay phim khốn nạn . biết mà đéo bảo người ta đánh xe ra,Anger
"đm bào tao tao cầm nón nhảy vào phang vỡ con mẹ nó alo chứ ở đấy đòi đo lồn , tao lại xé con mẹ nó háng ra !",Anger
ủa xây cầu ngắt khúc để troll nhau à,Anger
tao mà là con đi xe cũ . tao vả thẳng mặt bà mặt lờ kia . méo cần biết đứa nào sai hay đúng . vả vỡ mồm rồi gọi con bà ra đây hốt xác . 🤟,Anger
đời ghét nhất thể loại ăn chặn quỵt tiền người khác . nếu không hài lòng cách dạy thì trả tiền cho đủ rồi thôi . thời gian họ bỏ ra thiệt sự quá phí,Anger
ý thức như lol . 😂😂,Anger
"hỏi thì hỏi cho khôn , hỏi mà như vả thẳng vào mặt người ta :))",Anger
đồ má một lũ óc chó này .. cả nước họ quá bức súc tụi may lũ chúng may phải đưa ra tử hình hết lượt sống trật đất xã hội,Anger
tao là tao tát vỡ mõm ngay,Anger
bướng tao đập chết cụ mày,Anger
"không có người làm thì cần đéo gì phải dọn , dume thấy thằng nào dải đập chết cụ nó đi",Anger
xem đến cuối video mà vẫn đéo biết con nhỏ đó muốn gì . dài dòng vãi,Anger
láo vãi,Anger
đụ má nó quá đáng,Anger
có người yêu thì lo giữ đi mấy má khoe khoe cái buồi dume xem mà thấy tức vãi :''>,Anger
cũng chỉ vì việt nam nuôi một lũ kỹ sư . tiến sĩ phá hoại mới làm thiệt hại kinh tế nhiều vô kể chúng nó sài toàn bằng tại trức thì biết con mẹ gì mà đưa cây cao su ra bắc trồng khác gì đưa cây dừa ở trong nam ra bắc trồng . một lũ bò,Anger
truyện đặng như kim nèk ... tụi bây còn ăn hiếp anh nữa là hối hận không kịp nhé,Anger
nghe cái giọng thằng quay phim ăn nói đoạn cuối thực sự muốn làm 1 đấm nhẹ nhẹ vô cái mỏ nó . chả vui vẻ gì .,Anger
"ăn hại zồi bắt em gái nó dọn , quá đáng lắm rồi đó",Anger
"gặp tao , tao sút cho vô mỏ",Anger
riêng đéo gì tối nay mà khóc với lóc,Anger
ngay thơ vô số tội đã từng bị tụi bạn chơi khăm kiểu này,Anger
nó nói không đúg ư . đg của nhà bà ư . nó đóg phí đg bộ còn nhà bà thì đóg thuế đất thôi . đất nhà bà sử dụg được cả mặt đg cơ . sao không mag ban ghế ra đấy mà kê,Anger
dume . lưu manh từ nhỏ . khốn nạn,Anger
gặp em tao mà bị đánh như thế thì mấy đứa đánh có mà chuyển trường trốn luôn hoặc quỳ lạy van xin tha :),Anger
có con cục gạch kia xong chả biết từ đâu đâu lôi ra con ai phôn chơi :))) vô lí vãi :)) hư cấu 🙃,Anger
"cảm giác này vừa bực mình , vừa bất lực , là cái vất vả của nông thôn như tao , chứ đéo thấy buồn cười đâu",Anger
đề thi rồi cũng lỗi được !!! bực mình,Anger
cứ tưởng tao đùa à . hmm,Disgust
"ủa nó đá ông da đen mà ... sao tôi kia chửi nó "" da đen "" này nọ .... ?????",Disgust
nuôi kiểu gì mà để bé vậy đây :((((,Disgust
mấy thằng ngu mang danh cổ động viên cuồng nhiệt . ban tổ chức bắt tại trận được thằng nào thì bắt nó share ra =)),Disgust
"tao tưởng con ê ́ ch . -.- nhìn lại thấy con quỷ này , hết đáng yêu rồi",Disgust
và sau đó nó bảo đùa đấy và loan tin mày tỏ tình nó cho tất cả mng biết 🙂,Disgust
"nội bộ lục đục , được nước thả câu lại nhường cho 30 % cổ phần cho trung quốc . thế là thương hiệu việt nhưng công nghệ tq 😒😒",Disgust
thanh niên hack mẹ nó từ đầu game . đánh đấm con cặc . tội cho mấy rank con cày level,Disgust
nhìn ngon ngẻ v thôi chứ toàn gay qá :((,Disgust
giả dối,Disgust
lại phốt xứ thanh . mệt nhỉ,Disgust
"ngày xưa thầy dạy toán tao còn đấm thụi thụi thằng ngỗ ngược trong lớp đấy thôi , cả lớp cười ầm . giờ mạng xã hội phát triển , quan trọng hoá vấn đề , cái nhỏ đưa lên mạng là thành cái to",Disgust
chẳng là cái gì cả,Disgust
thằng ngu muội 😏😏😏,Disgust
quá xàm,Disgust
mày có gặm được củ cà rốt đéo đâu mà chảnh choẹ với tao !,Disgust
khi bạn lôi hết cảm xúc ra viết thì lũ bạn thân lại coi là nhảm lol 😑😑 dume,Disgust
agribank thái độ nhân viên ở cấp huyện kém lắm,Disgust
nhìn thấy nó cười trông giống thần kinh vãi lồn 😗,Disgust
ghét nhất thể loại này,Disgust
"lũ khốn nạn , giết người không dao",Disgust
"nhiều người việt nam ngộ lắm bỏ ra có 5k mà đã muốn làm mẹ thiên hạ rồi , chứ nói gì 100k",Disgust
xuống thì xuống đựợc nhưng mà bọn nó bảo là xã hội đen nó theo dõi nó giết thì là xạo lờ . bọn nó dựng chuyện câu thích đấy,Disgust
người đàn ông quái vật,Disgust
"có gạt tàn , gạt tàn thuốc dô gạt tàn xong xuôi còn đầu lọc vứt xuống chân .... đéo hiểu",Disgust
khôn vặt như này ai chơi lại,Disgust
per nhai mãi mệt không mày,Disgust
"mẹ , suốt ngày xem ba cái ngôn tình này rồi n mơ mộng . 25 rồi nha . nha nha nha",Disgust
sau này làm phò hết thôi . haizz,Disgust
trừ điểm per,Disgust
tiền của mình mà bạn . đừng để người ta lấy,Disgust
trẻ ăn cơm mốc thì thầy cô mới có phơ ăn .,Disgust
nhìn kinh dị quá 😂,Disgust
"dume , cái hồi học lớp 8 , chương cuối của quyển sách cô bảo tự học",Disgust
này thì chu cái bản mỏ ra,Disgust
đồ con heo ma,Disgust
đeo hiểu sao muôn lây chồng tây để sem chúng nó nhậu nhẹt nói chuyện có khác mấy thằng việt nam hãm lồn không,Disgust
chưa gì đã mất dạy,Disgust
"đây là chỗ mấy đứa bây khoe khoang yêu đương đấy à , biết gió mùa về rồi không ??",Disgust
anh em có thấy cắt video không . thấy xl quá,Disgust
đag đói mà đợi ôg này làm cho ăn chắc nghỉ mẹ nó luôn .:3,Disgust
nhìn ghét quá ????,Disgust
ông anh đỗ xe cũng vô duyên mà chị chủ thớt bán hàng online cũng chẳng kém duyên,Disgust
"tao ghét mấy thằng có tiền , nhìn ngứa mắt . tính kiểu gì cũng có chỗ không ra gì . có tiền là bố thiên hạ hả .",Disgust
nhiều khi làm ks gặp khách hai lúa mệt vê ca lờ . ks không cho mang đồ sống đồ hải sản lên phòng . tụi nó giấu trong balo mang lên tới khi lên dọn nhìn cái phòng muốn mửa,Disgust
qua đoạn vd ngắn này ta sẽ nhận ra rằng cgai nghĩ mình làm cái gì cũng đúng . cái gì cũng biết nhưng thực ra đéo biết cái con cặc gì,Disgust
xấu vãi đái còn bày đặt,Disgust
áo sơ mi trắng mặc cả ngày thì nó cũng dơ và hôi vãi ýk =)),Disgust
nha ̀ nươ ́ c pha ̉ i bo ̉ tu ̀ mâ ́ y thă ̀ người la ̀ mày oan sai cho ngươ ̀ i dân thi ̀ chu ́ người no ́ mơ ́ i sơ ̣,Disgust
"66 năm trời chỉ để ghi danh kỷ lục dzớ dzẩn , nhìn gớm chết với bất tiện vãi chớ sướng ít chi chịu đựng mấy chục năm trời",Disgust
fa đéo thích video này 😏,Disgust
bắt được đứa nào rải đinh cho nó đi tù . coi thường tính mạng người khác,Disgust
"cái đoạn bôi son nhìn vớ vẫn , nghĩ sao dùng xong mà nó còn nguyên . vớ vẫn",Disgust
ghét 2 đứa này quá đi,Disgust
thằng ăn ốc đéo phải trả tiền thằng đổ vỏ lại phải trả tiền …,Disgust
thằng học sinh làm khổ bome mày rồi,Disgust
và đéo tin được đứa nào,Disgust
ôi đất nước tôi ... hở ra là bàn thờ bát nhang 😳😳😳,Disgust
"con người hay con vật nó còn biết suy nghĩ , đây là loại gì",Disgust
lại khiển trách kiểm điểm rút kinh nghiệm nữa ah,Disgust
nhìn ảnh này tao lại thấy buồn nôn,Disgust
nhiều người ý thức kém quá,Disgust
hỏng cả 1 thế hệ,Disgust
lêu lêu con đĩ chó !!! giờ thì mày biết ai là con đẻ ai là con nuôi rồi đấy :>,Disgust
hic không phải tiền của mình nên có vẻ nhiều người xem nhẹ quá nhỉ . 580k to mà công sức các thứ các thứ của chủ thớt chứ có đi xin đâu ? :)),Disgust
"chắc lại thấy tự hào , tưởng thế mà hay",Disgust
ko còn tính người nữa rồi,Disgust
"súc vật , đề nghị xứ án treo cho bác per à mà treo cổ nhé :)",Disgust
"cũng có khi chơi với con gái ít vì nó quá xấu tính đéo con nào thèm chơi với nó , chỉ có thể chơi được với bọn con trai",Disgust
"cái ly hương nó cũng cướp , hết biết nói gì luôn . 😑",Disgust
vô tâm vãi . thôi độc thân vui tính đi .,Disgust
cần gì làm quá như thế :v,Disgust
tao ở chợ viềng 2 nam trực đây . đông vãi chưởng . chen nhau suýt chết bẹp,Disgust
tát thẳng đi ... tởm,Disgust
hành văn khó hiểu vãi 🤔,Disgust
nó bất ổn của đủ hay sao mà nhập thêm lũ chống đối vào nữa :3,Disgust
k phải tôi lùn mà . mấy người kia bị bệnh thừa xương ;(),Disgust
nó xóa tang chứng rồi kiện lên trên cũng vậy thôi để luật nhân quả con cháu nó chịu,Disgust
nói chi nhiều . mở cái king ' s coffee mà giống đến 90 % trung nguyên thì hiểu rồi .,Disgust
tôi cũng đến chịu mấy thanh niên có cái suy nghĩ muốn làm con mèo .,Disgust
"muốn tiếp thu giáo dục phương tây thì tiếp thu cho trọn , đừng nhặt vụn vặt làm sai lệch một thế hệ tương lai .",Disgust
"phải hỏi đứa nhỏ xem có phải ba nó không đã , nếu nó chưa biết nói thì nhìn ánh mắt nó thì biết thôi . mấy người tay và miệng nhanh hơn não này đúng là gây họa cho co người ta",Disgust
ngu rốt là phải trả giá bằg tiền mặt . tàu nó chạy trên thanh day sắt chứ đánh lái cái gì,Disgust
nghe có vẻ vô lý nhỉ,Disgust
nhảm vãi lồn,Disgust
"a trai mình từng làm trung nguyên 3 năm thôi . cũng gặp qua bà thảo với ông vũ rồi , bà thảo đúng chất con buôn , tham lam lắm , chả có tâm chút nào 👌",Disgust
"bảng thống kê so sánh ngành nghề , vị trí lẫn lộn , vô giá trị .",Disgust
"sờ thử lên đầu xem có sừng chưa , khéo nhắn cho thằng khác nhưng lỡ gửi cho mày đấy =)))",Disgust
per per per tao chả tháy bài này hay cái gì cả . nhạt nhẽo ..,Disgust
nhạc ghét không hay mấy admin ạ,Disgust
cấp 3 là 1 thanh xuân ám ảnh =)),Disgust
😞 2019 rồi xã hội phát triển kiểu gì vẫn còn lũ dòi bọ này nhì,Disgust
"nhiều quán karaoke không nhận khách sinh nhật vì rất mất vệ sinh .. ăn bánh kem trét vào mặt nhau , vào tường , vào ghế .. phải nói là vô học , mất vệ sinh .",Disgust
phạt cho qua mắt dân đen thôi mà ?,Disgust
cái quan trọng là ý nghĩ chứ đâu phải nó ngu . =))),Disgust
"ôi con cô giáo chủ nhiệm , thằng bố con mẹ bất hợp tác , những thành phần ngu lol",Disgust
"hay ho gì . 81 tỉ xây được bao nhiêu nhà cho hộ nghèo , trẻ em lang thang cơ nhỡ , trong khi đó dành 81 tỉ để bỏ nhau",Disgust
neymar mà lại phải hiếp dâm 1 cô gái à ???,Disgust
người việt mình tự hại nhau thôi . đừng đổi thừa cho trung quốc .,Disgust
chuyện nhà người ta mà cứ thích bới cả lên 😅😅😅,Disgust
ngu mới lắp . tiền gửi ngân hàng được nửa tiền điện cái hoàn vốn . sau này nó hấp thụ kém mặt trời . lại thay .,Disgust
bởi thế việt nam đéo bao giờ khá nổi về mặt ý thức được =)) nhờ mấy đĩ này chứ đâu :v,Disgust
đã mất xe còn bị bọn đường sắt nó phạt cho . khổ lắm ngu hết phần thiên hạ,Disgust
hóng mãi cuối cùng bị cho leo cây 😒,Disgust
per hình như bài mày ngh hôm nay . như cứt mai đừng mở nữa,Disgust
s không để tới lúc chết rồi thêm kỷ lục xác chết có móng tay dài nhất :v,Disgust
mấy thằng hải phòng ngáo chó gây ra đây mà,Disgust
cô giáo cũng ngu vãi !,Disgust
"ho ̣ c ha ̀ nh tra ̉ thâ ̀ y cô hê ́ tao , ba ̀ đo ́ thi ̀ con cặc trư ́ người nư ̃ anh đâu ma ̀ thai vơ ́ i sư ̀ người",Disgust
xém lại lên báo vụ bác sĩ bị người nhà bệnh nhân hành hung cho đến chết 😌😌😌😌😌,Disgust
cơm tấm ở ngoài cũng như này . 😡,Disgust
ngu vãi,Disgust
mày là bạn tội đồ,Disgust
"per má cái con ất ơ này , tao thù nó vãi , hồi nhỏ bị nó rượt chạy muốn sứt dép , nó dai còn hơn chó nữa .",Disgust
dm thể loại xàm lồn,Disgust
loại không biết trân trọng những gì mik nhận được thì mãi mãi chỉ là những kẻ nghèo hèn bẩn thỉu 😒,Disgust
bạn không có quyền đuổi người ta . khó chịu thì gọi ca giao thông thôi . bạn đuổi họ bạn sai lè lè,Disgust
động đực à mấy thằng kia ? :(( thương lũ chó nhà tao mấy tuổi rồi vẫn không biết động đực hay đi tìm gái cơ !! =]],Disgust
làm ăn nhố nhăng,Disgust
nói chuyện như vậy bảo sao đất nước không phát triển,Disgust
ác độc thế,Disgust
dơ dáy,Disgust
lớn rồi nên biết trân trọng đừng suốt ngày phàn nàn,Disgust
phản dame gắt vãi,Disgust
mấy bạn nữ kêu cái mẹ gì vậy,Disgust
thực sự là một trò cười,Disgust
tao không được ăn thì mày cung đừng hòng,Disgust
tôi cũng đi dạy . phụ huynh còn thiếu 250k kêu chuyển thẻ . không biết mai mốt chị còn nhớ mà chuyển cho mình nữa không đây,Disgust
vẫn là cái thói đối tốt với người ngoài và làm đau người thân quanh mình !,Disgust
chơi cái trò gì mất dạy dậy ... chơi mình đi má ai rãnh đâu mà chơi ....,Disgust
bất nhân,Disgust
như đùa ở vn mà như trên sao hoả vậy,Disgust
ngu thiệt trời,Disgust
tao biết tao mà đi gia sư thì con nhà người ta sứt đầu mẻ trán nên cũng không ham hố dạy với chả dỗ gì :))),Disgust
có loại này tồn tại ở đây à,Disgust
chuẩn bài =)))),Enjoyment
bây giờ mình 56 tuổi vẫn dùng để bắn bọn chuột neo dình sơi chim cảnh rất hiệu quả các bạn ơi,Enjoyment
ui sồi ôi đốn tim vãiiiiiiii,Enjoyment
nghe hay,Enjoyment
năm nay thì đở hơn rồi kkkk,Enjoyment
chào tháng 10 !! tháng sanh thần của tôi .. hi vọng mọi chuyện tốt đẹp,Enjoyment
cái nay nhận ra lâu roài . mà đi làm toàn gặp đồng nghiệp đáng yêu hi,Enjoyment
per nhớ cái này không bây kk,Enjoyment
